user_id,signup_date,country,plan,is_active,signup_month,sessions
U00043,2023-09-08,Brazil,Pro,True,2023-09,141.0
U00044,2024-02-29,Mexico,Free,False,2024-02,3.0
U00045,2024-10-27,Mexico,Free,True,2024-10,4.0
U00046,2023-10-05,Mexico,Free,True,2023-10,22.0
U00047,2024-10-21,Chile,Pro,True,2024-10,19.0
U00048,2023-10-09,Argentina,Free,False,2023-10,3.0
U00049,2023-10-20,Chile,Free,True,2023-10,20.0
U00050,2024-09-05,Mexico,Free,False,2024-09,0.0
U00051,2023-09-16,Brazil,Free,False,2023-09,6.0
U00052,2023-08-21,Colombia,Basic,True,2023-08,54.0
U00053,2023-10-04,Peru,Pro,True,2023-10,131.0
U00054,2024-11-09,Brazil,Free,False,2024-11,2.0
U00055,2023-12-16,USA,Free,True,2023-12,17.0
U00056,2024-10-08,Argentina,Free,False,2024-10,0.0
U00057,2024-11-10,Chile,Free,False,2024-11,2.0
U00058,2023-09-01,Chile,Basic,True,2023-09,59.0
U00059,2024-11-26,Colombia,Pro,True,2024-11,9.0
U00060,2023-09-21,Chile,Pro,True,2023-09,103.0
U00061,2024-02-26,Spain,Free,False,2024-02,0.0
U00062,2023-08-10,Mexico,Basic,True,2023-08,56.0
U00063,2024-05-19,Chile,Pro,True,2024-05,62.0
U00064,2024-03-01,Chile,Free,False,2024-03,3.0
U00065,2024-10-11,Argentina,Free,True,2024-10,5.0
U00066,2024-10-12,Colombia,Basic,True,2024-10,9.0
U00067,2024-02-04,Chile,Free,True,2024-02,13.0
U00068,2023-09-09,Mexico,Pro,True,2023-09,127.0
U00069,2024-05-05,USA,Basic,True,2024-05,31.0
U00070,2023-07-09,Colombia,Basic,False,2023-07,19.0
U00071,2023-10-15,Chile,Pro,True,2023-10,121.0
U00072,2023-10-18,Chile,Basic,True,2023-10,54.0
U00073,2024-02-01,Chile,Basic,True,2024-02,55.0
U00074,2024-03-27,Chile,Free,False,2024-03,6.0
U00075,2023-08-22,Mexico,Free,True,2023-08,17.0
U00076,2023-07-04,Chile,Free,False,2023-07,8.0
U00077,2023-12-13,Colombia,Basic,True,2023-12,54.0
U00078,2023-07-10,Spain,Free,False,2023-07,14.0
U00079,2023-11-30,Peru,Free,False,2023-11,3.0
U00080,2023-11-29,Chile,Free,True,2023-11,17.0
U00081,2023-08-10,Chile,Pro,True,2023-08,123.0
U00082,2023-10-14,Colombia,Free,False,2023-10,1.0
U00083,2023-12-06,Chile,Pro,True,2023-12,111.0
U00084,2023-12-29,Chile,Pro,True,2023-12,81.0
U00085,2024-06-05,Mexico,Basic,True,2024-06,31.0
U00086,2024-03-11,Peru,Free,True,2024-03,14.0
U00087,2023-08-09,Chile,Pro,True,2023-08,106.0
U00088,2024-10-14,Peru,Free,False,2024-10,1.0
U00089,2024-02-14,Chile,Free,True,2024-02,14.0
U00090,2023-09-10,Chile,Pro,True,2023-09,133.0
U00091,2024-08-13,Peru,Basic,True,2024-08,17.0
U00092,2023-07-29,USA,Free,True,2023-07,28.0
U00093,2024-03-28,Colombia,Free,True,2024-03,11.0
U00094,2024-05-17,USA,Free,True,2024-05,6.0
U00095,2024-01-11,Argentina,Free,True,2024-01,16.0
U00096,2024-01-18,Chile,Free,False,2024-01,7.0
U00097,2024-06-03,Argentina,Basic,True,2024-06,25.0
U00098,2024-05-03,Argentina,Free,True,2024-05,3.0
U00099,2024-04-28,Chile,Basic,True,2024-04,39.0
U00100,2024-07-23,Brazil,Basic,True,2024-07,20.0
U00101,2024-05-04,Peru,Free,True,2024-05,10.0
U00102,2024-02-01,Colombia,Free,False,2024-02,4.0
U00103,2024-10-19,Argentina,Free,True,2024-10,1.0
U00104,2023-12-21,Chile,Basic,True,2023-12,51.0
U00105,2024-06-08,Spain,Free,True,2024-06,5.0
U00106,2024-05-13,Chile,Free,True,2024-05,11.0
U00107,2024-03-07,Colombia,Pro,True,2024-03,80.0
U00108,2024-10-09,Colombia,Free,True,2024-10,6.0
U00109,2024-07-28,Chile,Free,False,2024-07,0.0
U00110,2023-07-06,Brazil,Pro,False,2023-07,41.0
U00111,2024-09-08,Peru,Free,False,2024-09,2.0
U00112,2024-10-18,Chile,Free,False,2024-10,1.0
U00113,2024-10-10,Mexico,Free,False,2024-10,0.0
U00114,2024-05-20,Brazil,Pro,True,2024-05,62.0
U00115,2024-11-28,Brazil,Free,True,2024-11,3.0
U00116,2023-12-10,Mexico,Basic,True,2023-12,42.0
U00117,2024-03-10,Chile,Basic,False,2024-03,9.0
U00118,2024-11-08,Chile,Basic,True,2024-11,11.0
U00119,2024-04-18,Mexico,Free,False,2024-04,2.0
U00120,2023-09-21,Chile,Free,False,2023-09,8.0
U00121,2024-02-05,Mexico,Free,False,2024-02,5.0
U00122,2024-08-29,Peru,Free,True,2024-08,5.0
U00123,2023-07-21,Argentina,Pro,True,2023-07,120.0
U00124,2023-07-07,Chile,Pro,True,2023-07,149.0
U00125,2024-09-02,Argentina,Free,False,2024-09,0.0
U00126,2024-02-11,Chile,Free,True,2024-02,8.0
U00127,2024-08-02,Argentina,Free,True,2024-08,4.0
U00128,2023-12-17,Brazil,Basic,False,2023-12,12.0
U00129,2023-07-28,Colombia,Pro,True,2023-07,143.0
U00130,2023-09-24,Chile,Basic,True,2023-09,46.0
U00131,2023-08-21,Mexico,Free,True,2023-08,23.0
U00132,2024-06-10,Mexico,Basic,False,2024-06,3.0
U00133,2024-09-04,Chile,Free,True,2024-09,2.0
U00134,2023-08-23,Mexico,Pro,True,2023-08,112.0
U00135,2023-08-11,Spain,Basic,True,2023-08,71.0
U00136,2023-07-21,Chile,Basic,True,2023-07,90.0
U00137,2023-10-26,Chile,Basic,True,2023-10,50.0
U00138,2024-07-12,Colombia,Free,False,2024-07,2.0
U00139,2023-10-26,Chile,Basic,True,2023-10,78.0
U00140,2023-07-27,Colombia,Pro,False,2023-07,45.0
U00141,2024-07-19,Argentina,Free,True,2024-07,11.0
U00142,2024-03-05,Peru,Free,False,2024-03,5.0
U00143,2023-11-01,Colombia,Basic,True,2023-11,47.0
U00144,2024-09-11,Chile,Basic,True,2024-09,12.0
U00145,2023-07-13,Peru,Basic,True,2023-07,70.0
U00146,2024-07-05,Peru,Basic,True,2024-07,28.0
U00147,2024-09-18,Colombia,Free,False,2024-09,0.0
U00148,2024-11-07,Peru,Free,False,2024-11,3.0
U00149,2024-05-26,Peru,Pro,True,2024-05,59.0
U00150,2024-10-04,Mexico,Free,False,2024-10,2.0
U00151,2024-07-23,Mexico,Free,True,2024-07,5.0
U00152,2024-11-11,Peru,Free,True,2024-11,5.0
U00153,2024-04-08,Colombia,Basic,True,2024-04,30.0
U00154,2024-03-04,Mexico,Basic,False,2024-03,11.0
U00155,2024-10-30,Mexico,Basic,False,2024-10,3.0
U00156,2023-10-04,Mexico,Free,True,2023-10,21.0
U00157,2024-07-12,Colombia,Free,True,2024-07,12.0
U00158,2024-06-03,Mexico,Free,True,2024-06,6.0
U00159,2024-02-22,Chile,Free,True,2024-02,15.0
U00160,2024-01-06,Argentina,Free,True,2024-01,15.0
U00161,2024-04-15,Peru,Pro,True,2024-04,63.0
U00162,2024-07-04,Chile,Free,False,2024-07,5.0
U00163,2024-04-06,Chile,Free,True,2024-04,18.0
U00164,2023-11-07,Argentina,Basic,True,2023-11,48.0
U00165,2023-07-13,Mexico,Basic,True,2023-07,65.0
U00166,2024-01-05,Chile,Pro,True,2024-01,85.0
U00167,2023-10-25,Mexico,Basic,True,2023-10,46.0
U00168,2023-08-24,Peru,Free,False,2023-08,3.0
U00169,2023-09-26,Chile,Pro,True,2023-09,114.0
U00170,2024-02-17,Mexico,Basic,False,2024-02,11.0
U00171,2024-04-30,USA,Pro,True,2024-04,54.0
U00172,2023-08-31,Argentina,Basic,False,2023-08,7.0
U00173,2024-01-29,Chile,Basic,True,2024-01,39.0
U00174,2024-03-02,Chile,Free,True,2024-03,7.0
U00175,2024-10-04,Mexico,Basic,True,2024-10,11.0
U00176,2024-04-21,Argentina,Basic,True,2024-04,30.0
U00177,2024-02-25,Peru,Pro,True,2024-02,85.0
U00178,2024-01-19,Colombia,Free,False,2024-01,5.0
U00179,2024-03-29,Chile,Basic,True,2024-03,31.0
U00180,2024-05-10,Peru,Basic,False,2024-05,9.0
U00181,2024-09-22,Argentina,Free,False,2024-09,0.0
U00182,2024-04-04,Mexico,Free,True,2024-04,12.0
U00183,2023-08-10,Argentina,Pro,True,2023-08,114.0
U00184,2023-07-27,Spain,Free,False,2023-07,4.0
U00185,2023-07-22,Argentina,Pro,True,2023-07,129.0
U00186,2023-08-11,Chile,Basic,True,2023-08,61.0
U00187,2024-09-25,Chile,Pro,True,2024-09,32.0
U00188,2024-11-15,Mexico,Pro,True,2024-11,12.0
U00189,2024-05-24,Brazil,Basic,True,2024-05,29.0
U00190,2024-11-19,Spain,Free,False,2024-11,1.0
U00191,2023-08-07,Mexico,Free,True,2023-08,16.0
U00192,2024-08-17,Peru,Pro,True,2024-08,32.0
U00193,2024-10-16,Chile,Free,True,2024-10,4.0
U00194,2024-11-22,Argentina,Basic,True,2024-11,2.0
U00195,2023-11-12,Mexico,Pro,True,2023-11,95.0
U00196,2023-11-02,Colombia,Free,False,2023-11,3.0
U00197,2023-12-10,Chile,Free,True,2023-12,17.0
U00198,2024-02-16,Brazil,Pro,True,2024-02,79.0
U00199,2023-10-29,Chile,Basic,False,2023-10,12.0
U00200,2024-04-24,Chile,Free,False,2024-04,5.0
U00201,2024-10-26,Colombia,Free,True,2024-10,2.0
U00202,2023-11-17,Chile,Pro,True,2023-11,105.0
U00203,2024-08-28,Peru,Free,True,2024-08,4.0
U00204,2023-07-03,Chile,Free,False,2023-07,4.0
U00205,2024-11-13,Mexico,Pro,True,2024-11,10.0
U00206,2024-06-05,Colombia,Basic,True,2024-06,23.0
U00207,2024-05-25,USA,Pro,True,2024-05,63.0
U00208,2024-07-27,Peru,Free,True,2024-07,9.0
U00209,2024-10-27,Peru,Basic,True,2024-10,7.0
U00210,2023-12-03,Chile,Free,True,2023-12,19.0
U00211,2024-06-04,Brazil,Pro,True,2024-06,51.0
U00212,2024-10-10,Chile,Free,False,2024-10,1.0
U00213,2023-12-06,Peru,Free,True,2023-12,16.0
U00214,2024-08-11,Brazil,Basic,False,2024-08,6.0
U00215,2024-07-24,Colombia,Pro,False,2024-07,12.0
U00216,2024-11-11,Chile,Pro,True,2024-11,20.0
U00217,2024-04-20,Argentina,Pro,True,2024-04,61.0
U00218,2023-10-09,Argentina,Basic,True,2023-10,65.0
U00219,2023-12-18,Brazil,Basic,True,2023-12,49.0
U00220,2023-08-27,Mexico,Free,True,2023-08,26.0
U00221,2024-08-25,Peru,Basic,True,2024-08,14.0
U00222,2023-09-19,Mexico,Basic,True,2023-09,66.0
U00223,2024-11-21,Chile,Pro,True,2024-11,11.0
U00224,2024-03-17,Argentina,Free,False,2024-03,3.0
U00225,2024-10-19,Argentina,Pro,True,2024-10,24.0
U00226,2024-09-25,USA,Pro,True,2024-09,23.0
U00227,2024-09-07,Mexico,Basic,True,2024-09,10.0
U00228,2024-07-28,Chile,Pro,True,2024-07,44.0
U00229,2024-07-02,USA,Basic,True,2024-07,25.0
U00230,2024-08-09,Colombia,Free,False,2024-08,1.0
U00231,2023-08-20,Argentina,Pro,True,2023-08,123.0
U00232,2024-04-19,Chile,Basic,False,2024-04,9.0
U00233,2024-02-10,Colombia,Basic,True,2024-02,43.0
U00234,2023-11-18,Brazil,Basic,True,2023-11,65.0
U00235,2024-05-12,Chile,Basic,True,2024-05,23.0
U00236,2023-11-12,Chile,Free,False,2023-11,9.0
U00237,2023-12-27,Peru,Free,False,2023-12,5.0
U00238,2024-07-09,Brazil,Free,False,2024-07,2.0
U00239,2024-03-20,Spain,Pro,False,2024-03,18.0
U00240,2024-04-28,Mexico,Basic,True,2024-04,32.0
U00241,2023-09-16,Spain,Free,False,2023-09,6.0
U00242,2024-08-10,Peru,Pro,True,2024-08,30.0
U00243,2024-08-08,Colombia,Free,True,2024-08,5.0
U00244,2024-03-25,Peru,Basic,False,2024-03,9.0
U00245,2023-10-19,Mexico,Basic,True,2023-10,62.0
U00246,2024-05-31,Chile,Pro,True,2024-05,66.0
U00247,2024-10-18,Mexico,Pro,True,2024-10,14.0
U00248,2023-11-21,Chile,Free,False,2023-11,4.0
U00249,2023-10-27,Brazil,Free,True,2023-10,19.0
U00250,2024-10-07,Spain,Free,False,2024-10,1.0
U00251,2024-09-02,Argentina,Basic,False,2024-09,4.0
U00252,2023-10-10,Colombia,Basic,False,2023-10,13.0
U00253,2024-04-12,Mexico,Free,True,2024-04,11.0
U00254,2024-02-27,Chile,Pro,True,2024-02,69.0
U00255,2024-07-02,Chile,Free,False,2024-07,1.0
U00256,2024-10-08,Chile,Free,False,2024-10,0.0
U00257,2023-07-22,Mexico,Free,False,2023-07,3.0
U00258,2024-01-27,Argentina,Free,True,2024-01,19.0
U00259,2024-02-07,Chile,Basic,False,2024-02,13.0
U00260,2023-07-03,USA,Free,False,2023-07,7.0
U00261,2024-03-13,Chile,Basic,False,2024-03,7.0
U00262,2023-11-12,Peru,Free,True,2023-11,14.0
U00263,2024-05-27,Chile,Free,True,2024-05,12.0
U00264,2024-09-04,Argentina,Free,True,2024-09,8.0
U00265,2024-07-05,Chile,Free,True,2024-07,8.0
U00266,2023-08-14,Brazil,Basic,True,2023-08,59.0
U00267,2024-05-04,Spain,Free,True,2024-05,16.0
U00268,2024-11-02,Mexico,Basic,True,2024-11,6.0
U00269,2024-09-27,Chile,Free,False,2024-09,0.0
U00270,2023-09-06,Colombia,Free,False,2023-09,9.0
U00271,2024-05-28,Colombia,Free,True,2024-05,5.0
U00272,2024-11-29,Chile,Basic,True,2024-11,4.0
U00273,2024-02-06,Brazil,Free,True,2024-02,15.0
U00274,2024-10-07,Argentina,Free,True,2024-10,4.0
U00275,2024-05-16,Mexico,Basic,True,2024-05,25.0
U00276,2024-10-28,Peru,Free,True,2024-10,0.0
U00277,2023-10-07,Mexico,Basic,True,2023-10,58.0
U00278,2023-08-31,Colombia,Basic,True,2023-08,59.0
U00279,2023-11-03,Brazil,Free,False,2023-11,2.0
U00280,2024-09-06,Argentina,Pro,False,2024-09,10.0
U00281,2024-05-15,Colombia,Free,True,2024-05,15.0
U00282,2024-11-05,Chile,Free,False,2024-11,1.0
U00283,2024-07-11,Chile,Free,True,2024-07,13.0
U00284,2024-09-12,USA,Basic,False,2024-09,5.0
U00285,2023-07-27,Argentina,Basic,True,2023-07,72.0
U00286,2023-07-30,Argentina,Free,True,2023-07,33.0
U00287,2024-06-12,Chile,Free,True,2024-06,7.0
U00288,2024-08-14,Argentina,Free,False,2024-08,0.0
U00289,2023-10-02,Chile,Basic,True,2023-10,63.0
U00290,2024-06-14,Mexico,Free,True,2024-06,10.0
U00291,2023-09-25,Chile,Pro,True,2023-09,133.0
U00292,2023-08-20,Chile,Basic,True,2023-08,75.0
U00293,2024-11-09,Mexico,Basic,True,2024-11,14.0
U00294,2023-10-25,Chile,Free,False,2023-10,3.0
U00295,2024-11-10,Mexico,Free,True,2024-11,1.0
U00296,2023-08-26,Mexico,Free,True,2023-08,21.0
U00297,2023-11-18,Chile,Basic,True,2023-11,56.0
U00298,2024-11-21,Chile,Basic,True,2024-11,8.0
U00299,2024-02-21,Peru,Free,False,2024-02,6.0
U00300,2023-09-12,Argentina,Free,True,2023-09,16.0
U00301,2024-10-13,Brazil,Pro,True,2024-10,16.0
U00302,2024-08-18,Mexico,Basic,True,2024-08,15.0
U00303,2023-07-22,Chile,Pro,False,2023-07,30.0
U00304,2024-10-14,Brazil,Basic,True,2024-10,7.0
U00305,2023-10-17,Colombia,Free,False,2023-10,5.0
U00306,2024-08-09,Argentina,Pro,True,2024-08,29.0
U00307,2023-12-20,Colombia,Free,False,2023-12,6.0
U00308,2024-01-15,Mexico,Pro,True,2024-01,86.0
U00309,2023-11-29,Chile,Free,True,2023-11,20.0
U00310,2023-12-04,Argentina,Basic,True,2023-12,38.0
U00311,2024-11-17,Colombia,Free,False,2024-11,1.0
U00312,2024-05-26,Colombia,Pro,True,2024-05,65.0
U00313,2023-09-08,Colombia,Free,False,2023-09,11.0
U00314,2023-08-27,Chile,Free,True,2023-08,24.0
U00315,2023-08-08,Peru,Free,True,2023-08,24.0
U00316,2023-10-01,Colombia,Basic,True,2023-10,50.0
U00317,2023-08-12,Peru,Free,False,2023-08,4.0
U00318,2024-05-25,Colombia,Basic,False,2024-05,5.0
U00319,2024-10-04,Brazil,Free,True,2024-10,5.0
U00320,2023-09-25,Chile,Free,True,2023-09,21.0
U00321,2024-09-21,Colombia,Pro,True,2024-09,23.0
U00322,2024-07-07,Chile,Free,True,2024-07,7.0
U00323,2024-06-11,Chile,Basic,True,2024-06,27.0
U00324,2024-06-07,Chile,Free,False,2024-06,1.0
U00325,2024-04-16,Brazil,Free,False,2024-04,6.0
U00326,2023-12-01,Colombia,Free,True,2023-12,17.0
U00327,2024-06-23,Argentina,Free,False,2024-06,2.0
U00328,2023-11-10,Spain,Basic,True,2023-11,52.0
U00329,2024-07-20,Mexico,Basic,True,2024-07,25.0
U00330,2023-10-04,Mexico,Basic,True,2023-10,51.0
U00331,2024-07-06,Spain,Free,True,2024-07,10.0
U00332,2024-11-09,USA,Free,True,2024-11,3.0
U00333,2024-04-28,Chile,Basic,False,2024-04,7.0
U00334,2023-08-08,Brazil,Basic,True,2023-08,76.0
U00335,2024-07-20,Chile,Free,False,2024-07,4.0
U00336,2023-12-17,Chile,Basic,True,2023-12,51.0
U00337,2024-02-29,Colombia,Pro,True,2024-02,78.0
U00338,2024-10-02,Chile,Free,False,2024-10,0.0
U00339,2024-10-23,Chile,Pro,True,2024-10,20.0
U00340,2024-09-24,Chile,Free,True,2024-09,2.0
U00341,2024-09-01,Peru,Pro,True,2024-09,32.0
U00342,2023-11-19,Chile,Pro,True,2023-11,114.0
U00343,2024-07-15,Chile,Basic,False,2024-07,2.0
U00344,2023-11-05,Argentina,Free,True,2023-11,17.0
U00345,2023-11-28,Chile,Basic,False,2023-11,15.0
U00346,2024-10-04,Spain,Pro,True,2024-10,25.0
U00347,2024-08-09,Chile,Free,False,2024-08,1.0
U00348,2024-07-18,Mexico,Free,True,2024-07,6.0
U00349,2024-06-08,Chile,Basic,True,2024-06,30.0
U00350,2024-10-26,Chile,Basic,True,2024-10,3.0
U00351,2024-10-02,Brazil,Basic,True,2024-10,10.0
U00352,2024-02-06,Colombia,Basic,False,2024-02,6.0
U00353,2024-09-06,Chile,Free,True,2024-09,5.0
U00354,2023-08-18,Colombia,Free,False,2023-08,3.0
U00355,2023-09-03,Brazil,Free,False,2023-09,8.0
U00356,2023-07-17,Colombia,Basic,False,2023-07,19.0
U00357,2024-04-24,Colombia,Free,True,2024-04,10.0
U00358,2024-08-30,Argentina,Free,False,2024-08,2.0
U00359,2024-07-04,Colombia,Free,True,2024-07,6.0
U00360,2024-12-01,Mexico,Basic,True,2024-12,5.0
U00361,2024-07-31,Chile,Pro,True,2024-07,33.0
U00362,2023-09-08,Argentina,Free,False,2023-09,1.0
U00363,2024-06-05,Mexico,Free,True,2024-06,11.0
U00364,2023-12-27,Argentina,Basic,False,2023-12,12.0
U00365,2024-11-02,Peru,Basic,True,2024-11,11.0
U00366,2024-10-11,Chile,Free,False,2024-10,2.0
U00367,2023-08-12,Mexico,Free,True,2023-08,22.0
U00368,2024-10-27,Argentina,Free,True,2024-10,4.0
U00369,2024-06-30,Chile,Pro,True,2024-06,39.0
U00370,2024-04-05,Mexico,Free,False,2024-04,5.0
U00371,2024-09-23,Mexico,Pro,False,2024-09,5.0
U00372,2024-11-20,Mexico,Basic,False,2024-11,2.0
U00373,2024-03-30,Argentina,Basic,True,2024-03,31.0
U00374,2024-01-01,Mexico,Free,True,2024-01,19.0
U00375,2024-04-28,Colombia,Free,True,2024-04,7.0
U00376,2024-09-27,Chile,Free,False,2024-09,2.0
U00377,2024-06-26,Mexico,Basic,True,2024-06,25.0
U00378,2023-08-28,Colombia,Free,True,2023-08,17.0
U00379,2023-12-11,Chile,Pro,True,2023-12,92.0
U00380,2024-09-21,Chile,Free,False,2024-09,2.0
U00381,2024-07-10,Spain,Free,True,2024-07,5.0
U00382,2023-12-05,Spain,Basic,True,2023-12,70.0
U00383,2023-09-17,Colombia,Basic,True,2023-09,78.0
U00384,2024-04-11,Chile,Free,False,2024-04,5.0
U00385,2024-11-23,Brazil,Free,True,2024-11,0.0
U00386,2024-03-23,Chile,Basic,True,2024-03,33.0
U00387,2024-11-14,Chile,Free,True,2024-11,3.0
U00388,2023-12-24,Mexico,Pro,True,2023-12,101.0
U00389,2024-05-23,Argentina,Basic,True,2024-05,35.0
U00390,2024-04-23,Brazil,Pro,True,2024-04,69.0
U00391,2023-12-26,Colombia,Basic,True,2023-12,62.0
U00392,2024-01-22,Chile,Basic,True,2024-01,44.0
U00393,2024-07-04,Mexico,Basic,False,2024-07,6.0
U00394,2023-11-10,Chile,Basic,True,2023-11,57.0
U00395,2024-11-02,Argentina,Free,False,2024-11,1.0
U00396,2023-09-14,Mexico,Free,True,2023-09,20.0
U00397,2024-10-20,Mexico,Basic,False,2024-10,5.0
U00398,2024-01-03,Chile,Basic,True,2024-01,50.0
U00399,2023-08-26,Colombia,Basic,True,2023-08,70.0
U00400,2023-12-13,Argentina,Free,True,2023-12,16.0
U00401,2024-04-16,Chile,Basic,True,2024-04,25.0
U00402,2024-04-07,Mexico,Free,False,2024-04,0.0
U00403,2024-11-26,Colombia,Basic,True,2024-11,5.0
U00404,2023-12-23,Argentina,Basic,True,2023-12,42.0
U00405,2023-08-12,Chile,Basic,True,2023-08,58.0
U00406,2024-03-28,Argentina,Basic,True,2024-03,37.0
U00407,2023-08-01,Colombia,Free,True,2023-08,24.0
U00408,2024-05-05,Peru,Free,False,2024-05,4.0
U00409,2024-04-30,Argentina,Free,True,2024-04,9.0
U00410,2024-08-29,Chile,Free,False,2024-08,2.0
U00411,2024-05-16,Mexico,Pro,False,2024-05,17.0
U00412,2024-06-18,Chile,Pro,True,2024-06,58.0
U00413,2023-10-17,Mexico,Free,True,2023-10,30.0
U00414,2024-03-10,Chile,Free,False,2024-03,1.0
U00415,2024-09-01,Brazil,Free,True,2024-09,6.0
U00416,2024-05-31,Argentina,Pro,True,2024-05,44.0
U00417,2023-12-11,Colombia,Free,True,2023-12,14.0
U00418,2024-05-11,Chile,Free,True,2024-05,8.0
U00419,2024-10-11,Chile,Pro,True,2024-10,21.0
U00420,2023-08-21,Colombia,Free,False,2023-08,5.0
U00421,2024-10-24,Chile,Free,True,2024-10,3.0
U00422,2023-11-15,Argentina,Pro,True,2023-11,91.0
U00423,2024-07-09,Chile,Free,False,2024-07,2.0
U00424,2024-07-06,Chile,Basic,True,2024-07,28.0
U00425,2024-04-12,Colombia,Basic,True,2024-04,47.0
U00426,2023-11-09,Mexico,Pro,True,2023-11,98.0
U00427,2024-06-12,Mexico,Basic,True,2024-06,28.0
U00428,2024-08-15,Chile,Free,True,2024-08,9.0
U00429,2024-06-06,Colombia,Basic,True,2024-06,29.0
U00430,2023-11-21,Colombia,Free,True,2023-11,19.0
U00431,2024-05-02,Colombia,Basic,True,2024-05,35.0
U00432,2024-11-13,Chile,Basic,False,2024-11,1.0
U00433,2024-07-12,Chile,Free,True,2024-07,5.0
U00434,2024-05-11,Argentina,Basic,True,2024-05,32.0
U00435,2023-07-28,Chile,Basic,True,2023-07,72.0
U00436,2024-02-19,Colombia,Basic,True,2024-02,39.0
U00437,2024-07-24,Argentina,Free,True,2024-07,7.0
U00438,2023-10-21,Mexico,Free,True,2023-10,15.0
U00439,2024-08-26,Mexico,Basic,False,2024-08,2.0
U00440,2024-10-25,Argentina,Pro,True,2024-10,17.0
U00441,2023-11-19,Colombia,Free,False,2023-11,7.0
U00442,2024-11-01,Mexico,Free,True,2024-11,6.0
U00443,2024-06-15,Argentina,Free,False,2024-06,3.0
U00444,2024-03-27,Chile,Basic,True,2024-03,30.0
U00445,2024-05-01,USA,Free,True,2024-05,6.0
U00446,2024-04-21,Argentina,Basic,True,2024-04,37.0
U00447,2024-11-03,Spain,Free,False,2024-11,2.0
U00448,2024-04-06,Colombia,Free,False,2024-04,2.0
U00449,2024-08-08,Spain,Basic,False,2024-08,8.0
U00450,2024-04-23,Spain,Free,True,2024-04,13.0
U00451,2024-09-25,Argentina,Basic,True,2024-09,10.0
U00452,2024-04-03,Argentina,Pro,True,2024-04,66.0
U00453,2024-03-02,Argentina,Free,False,2024-03,5.0
U00454,2024-02-24,Mexico,Free,False,2024-02,7.0
U00455,2023-10-11,Chile,Basic,False,2023-10,20.0
U00456,2023-12-09,Spain,Free,False,2023-12,6.0
U00457,2024-10-31,Argentina,Basic,True,2024-10,12.0
U00458,2024-04-18,Brazil,Basic,True,2024-04,33.0
U00459,2024-02-23,Argentina,Free,False,2024-02,2.0
U00460,2023-12-27,Peru,Free,False,2023-12,1.0
U00461,2023-08-07,Mexico,Pro,True,2023-08,125.0
U00462,2024-04-22,Chile,Pro,True,2024-04,63.0
U00463,2023-10-18,Mexico,Pro,True,2023-10,117.0
U00464,2024-11-17,Chile,Pro,True,2024-11,12.0
