transaction_id,user_id,amount,transaction_date,status,plan,country
T0000047,U00006,29.93,2024-09-29,completed,Basic,Chile
T0000048,U00006,28.92,2024-10-29,completed,Basic,Chile
T0000049,U00006,28.22,2024-11-28,completed,Basic,Chile
T0000050,U00009,30.05,2024-03-27,completed,Basic,Argentina
T0000051,U00009,29.72,2024-04-26,completed,Basic,Argentina
T0000052,U00009,27.53,2024-05-26,completed,Basic,Argentina
T0000053,U00009,29.55,2024-06-25,completed,Basic,Argentina
T0000054,U00009,29.41,2024-07-25,completed,Basic,Argentina
T0000055,U00009,29.49,2024-08-24,completed,Basic,Argentina
T0000056,U00009,29.18,2024-09-23,completed,Basic,Argentina
T0000057,U00009,30.12,2024-10-23,completed,Basic,Argentina
T0000058,U00009,29.89,2024-11-22,completed,Basic,Argentina
T0000059,U00011,29.32,2024-07-05,completed,Basic,Argentina
T0000060,U00011,28.95,2024-08-04,completed,Basic,Argentina
T0000061,U00011,27.72,2024-09-03,completed,Basic,Argentina
T0000062,U00011,29.78,2024-10-03,completed,Basic,Argentina
T0000063,U00011,29.87,2024-11-02,completed,Basic,Argentina
T0000064,U00012,30.23,2024-02-19,completed,Basic,USA
T0000065,U00012,27.71,2024-03-20,completed,Basic,USA
T0000066,U00012,28.36,2024-04-19,completed,Basic,USA
T0000067,U00012,28.87,2024-05-19,completed,Basic,USA
T0000068,U00012,29.15,2024-06-18,completed,Basic,USA
T0000069,U00012,28.73,2024-07-18,completed,Basic,USA
T0000070,U00012,28.99,2024-08-17,completed,Basic,USA
T0000071,U00012,28.99,2024-09-16,completed,Basic,USA
T0000072,U00012,30.23,2024-10-16,completed,Basic,USA
T0000073,U00012,28.16,2024-11-15,completed,Basic,USA
T0000074,U00015,28.06,2023-09-12,completed,Basic,Chile
T0000075,U00015,30.17,2023-10-12,completed,Basic,Chile
T0000076,U00015,30.16,2023-11-11,completed,Basic,Chile
T0000077,U00015,0.0,2023-12-11,failed,Basic,Chile
T0000078,U00015,28.32,2024-01-10,completed,Basic,Chile
T0000079,U00015,29.33,2024-02-09,completed,Basic,Chile
T0000080,U00015,0.0,2024-03-10,failed,Basic,Chile
T0000081,U00015,28.87,2024-04-09,completed,Basic,Chile
T0000082,U00015,30.45,2024-05-09,completed,Basic,Chile
T0000083,U00015,29.67,2024-06-08,completed,Basic,Chile
T0000084,U00015,28.15,2024-07-08,completed,Basic,Chile
T0000085,U00015,30.31,2024-08-07,completed,Basic,Chile
T0000086,U00015,30.45,2024-09-06,completed,Basic,Chile
T0000087,U00015,0.0,2024-10-06,failed,Basic,Chile
T0000088,U00015,29.74,2024-11-05,completed,Basic,Chile
T0000089,U00017,28.59,2024-02-10,completed,Basic,Peru
T0000090,U00017,27.85,2024-03-11,completed,Basic,Peru
T0000091,U00017,30.17,2024-04-10,completed,Basic,Peru
T0000092,U00017,27.85,2024-05-10,completed,Basic,Peru
T0000093,U00017,28.39,2024-06-09,completed,Basic,Peru
T0000094,U00017,28.03,2024-07-09,completed,Basic,Peru
T0000095,U00017,29.85,2024-08-08,completed,Basic,Peru
T0000096,U00017,29.13,2024-09-07,completed,Basic,Peru
T0000097,U00017,28.25,2024-10-07,completed,Basic,Peru
T0000098,U00017,30.23,2024-11-06,completed,Basic,Peru
T0000099,U00018,28.49,2024-02-20,completed,Basic,Peru
T0000100,U00018,28.4,2024-03-21,completed,Basic,Peru
T0000101,U00018,28.85,2024-04-20,completed,Basic,Peru
T0000102,U00018,30.36,2024-05-20,completed,Basic,Peru
T0000103,U00018,27.73,2024-06-19,completed,Basic,Peru
T0000104,U00018,29.18,2024-07-19,completed,Basic,Peru
T0000105,U00018,28.77,2024-08-18,completed,Basic,Peru
T0000106,U00018,29.55,2024-09-17,completed,Basic,Peru
T0000107,U00018,28.67,2024-10-17,completed,Basic,Peru
T0000108,U00018,29.97,2024-11-16,completed,Basic,Peru
T0000109,U00022,27.61,2024-03-26,completed,Basic,Mexico
T0000110,U00022,28.12,2024-04-25,completed,Basic,Mexico
T0000111,U00022,27.59,2024-05-25,completed,Basic,Mexico
T0000112,U00022,29.38,2024-06-24,completed,Basic,Mexico
T0000113,U00022,28.07,2024-07-24,completed,Basic,Mexico
T0000114,U00022,28.35,2024-08-23,completed,Basic,Mexico
T0000115,U00022,27.91,2024-09-22,completed,Basic,Mexico
T0000116,U00022,29.41,2024-10-22,completed,Basic,Mexico
T0000117,U00022,27.56,2024-11-21,completed,Basic,Mexico
T0000118,U00024,27.83,2023-10-02,completed,Basic,Brazil
T0000119,U00024,29.02,2023-11-01,completed,Basic,Brazil
T0000120,U00024,28.35,2023-12-01,completed,Basic,Brazil
T0000121,U00024,29.02,2023-12-31,completed,Basic,Brazil
T0000122,U00024,27.74,2024-01-30,completed,Basic,Brazil
T0000123,U00024,0.0,2024-02-29,failed,Basic,Brazil
T0000124,U00024,29.81,2024-03-30,completed,Basic,Brazil
T0000125,U00024,27.85,2024-04-29,completed,Basic,Brazil
T0000126,U00024,30.31,2024-05-29,completed,Basic,Brazil
T0000127,U00024,30.28,2024-06-28,completed,Basic,Brazil
T0000128,U00024,29.54,2024-07-28,completed,Basic,Brazil
T0000129,U00024,28.72,2024-08-27,completed,Basic,Brazil
T0000130,U00024,30.36,2024-09-26,completed,Basic,Brazil
T0000131,U00024,28.15,2024-10-26,completed,Basic,Brazil
T0000132,U00024,29.79,2024-11-25,completed,Basic,Brazil
T0000133,U00025,28.28,2023-12-11,completed,Basic,Mexico
T0000134,U00025,29.54,2024-01-10,completed,Basic,Mexico
T0000135,U00025,27.84,2024-02-09,completed,Basic,Mexico
T0000136,U00025,29.76,2024-03-10,completed,Basic,Mexico
T0000137,U00025,27.52,2024-04-09,completed,Basic,Mexico
T0000138,U00025,30.47,2024-05-09,completed,Basic,Mexico
T0000139,U00025,28.45,2024-06-08,completed,Basic,Mexico
T0000140,U00025,28.08,2024-07-08,completed,Basic,Mexico
T0000141,U00025,27.98,2024-08-07,completed,Basic,Mexico
T0000142,U00025,28.84,2024-09-06,completed,Basic,Mexico
T0000143,U00025,28.26,2024-10-06,completed,Basic,Mexico
T0000144,U00025,28.86,2024-11-05,completed,Basic,Mexico
T0000145,U00026,29.01,2024-07-25,completed,Basic,Mexico
T0000146,U00026,30.46,2024-08-24,completed,Basic,Mexico
T0000147,U00026,27.74,2024-09-23,completed,Basic,Mexico
T0000148,U00026,30.23,2024-10-23,completed,Basic,Mexico
T0000149,U00026,29.07,2024-11-22,completed,Basic,Mexico
T0000150,U00027,27.99,2023-07-12,completed,Basic,Chile
T0000151,U00027,29.15,2023-08-11,completed,Basic,Chile
T0000152,U00027,30.26,2023-09-10,completed,Basic,Chile
T0000153,U00027,28.96,2023-10-10,completed,Basic,Chile
T0000154,U00027,29.78,2023-11-09,completed,Basic,Chile
T0000155,U00027,29.14,2023-12-09,completed,Basic,Chile
T0000156,U00027,0.0,2024-01-08,failed,Basic,Chile
T0000157,U00027,29.85,2024-02-07,completed,Basic,Chile
T0000158,U00027,27.79,2024-03-08,completed,Basic,Chile
T0000159,U00027,28.25,2024-04-07,completed,Basic,Chile
T0000160,U00027,27.56,2024-05-07,completed,Basic,Chile
T0000161,U00027,28.78,2024-06-06,completed,Basic,Chile
T0000162,U00027,27.52,2024-07-06,completed,Basic,Chile
T0000163,U00027,28.98,2024-08-05,completed,Basic,Chile
T0000164,U00027,29.62,2024-09-04,completed,Basic,Chile
T0000165,U00027,29.91,2024-10-04,completed,Basic,Chile
T0000166,U00027,29.76,2024-11-03,completed,Basic,Chile
T0000167,U00028,0.0,2024-03-30,failed,Basic,Mexico
T0000168,U00028,28.9,2024-04-29,completed,Basic,Mexico
T0000169,U00028,30.19,2024-05-29,completed,Basic,Mexico
T0000170,U00028,28.09,2024-06-28,completed,Basic,Mexico
T0000171,U00028,28.97,2024-07-28,completed,Basic,Mexico
T0000172,U00028,30.17,2024-08-27,completed,Basic,Mexico
T0000173,U00028,28.23,2024-09-26,completed,Basic,Mexico
T0000174,U00028,28.79,2024-10-26,completed,Basic,Mexico
T0000175,U00028,27.73,2024-11-25,completed,Basic,Mexico
T0000176,U00030,88.16,2024-03-26,completed,Pro,Argentina
T0000177,U00030,89.04,2024-04-25,completed,Pro,Argentina
T0000178,U00030,89.84,2024-05-25,completed,Pro,Argentina
T0000179,U00030,88.89,2024-06-24,completed,Pro,Argentina
T0000180,U00030,90.4,2024-07-24,completed,Pro,Argentina
T0000181,U00030,87.77,2024-08-23,completed,Pro,Argentina
T0000182,U00030,89.76,2024-09-22,completed,Pro,Argentina
T0000183,U00030,90.22,2024-10-22,completed,Pro,Argentina
T0000184,U00030,89.34,2024-11-21,completed,Pro,Argentina
T0000185,U00031,88.02,2023-10-17,completed,Pro,Chile
T0000186,U00031,89.47,2023-11-16,completed,Pro,Chile
T0000187,U00031,90.36,2023-12-16,completed,Pro,Chile
T0000188,U00031,87.54,2024-01-15,completed,Pro,Chile
T0000189,U00031,88.02,2024-02-14,completed,Pro,Chile
T0000190,U00031,87.74,2024-03-15,completed,Pro,Chile
T0000191,U00031,89.63,2024-04-14,completed,Pro,Chile
T0000192,U00031,0.0,2024-05-14,failed,Pro,Chile
T0000193,U00031,90.02,2024-06-13,completed,Pro,Chile
T0000194,U00031,90.33,2024-07-13,completed,Pro,Chile
T0000195,U00031,89.62,2024-08-12,completed,Pro,Chile
T0000196,U00031,89.37,2024-09-11,completed,Pro,Chile
T0000197,U00031,87.8,2024-10-11,completed,Pro,Chile
T0000198,U00031,87.95,2024-11-10,completed,Pro,Chile
T0000199,U00033,28.11,2023-07-01,completed,Basic,Mexico
T0000200,U00033,30.29,2023-07-31,completed,Basic,Mexico
T0000201,U00033,0.0,2023-08-30,failed,Basic,Mexico
T0000202,U00033,27.53,2023-09-29,completed,Basic,Mexico
T0000203,U00033,0.0,2023-10-29,failed,Basic,Mexico
T0000204,U00033,0.0,2023-11-28,failed,Basic,Mexico
T0000205,U00033,30.05,2023-12-28,completed,Basic,Mexico
T0000206,U00033,27.93,2024-01-27,completed,Basic,Mexico
T0000207,U00033,30.06,2024-02-26,completed,Basic,Mexico
T0000208,U00033,28.71,2024-03-27,completed,Basic,Mexico
T0000209,U00033,28.42,2024-04-26,completed,Basic,Mexico
T0000210,U00033,29.1,2024-05-26,completed,Basic,Mexico
T0000211,U00033,27.91,2024-06-25,completed,Basic,Mexico
T0000212,U00033,28.59,2024-07-25,completed,Basic,Mexico
T0000213,U00033,29.9,2024-08-24,completed,Basic,Mexico
T0000214,U00033,30.35,2024-09-23,completed,Basic,Mexico
T0000215,U00033,29.78,2024-10-23,completed,Basic,Mexico
T0000216,U00033,28.75,2024-11-22,completed,Basic,Mexico
T0000217,U00034,88.83,2024-07-06,completed,Pro,Peru
T0000218,U00034,89.82,2024-08-05,completed,Pro,Peru
T0000219,U00034,90.38,2024-09-04,completed,Pro,Peru
T0000220,U00034,89.47,2024-10-04,completed,Pro,Peru
T0000221,U00034,90.19,2024-11-03,completed,Pro,Peru
T0000222,U00036,30.05,2024-11-09,completed,Basic,USA
T0000223,U00039,27.92,2024-01-22,completed,Basic,Mexico
T0000224,U00039,28.77,2024-02-21,completed,Basic,Mexico
T0000225,U00039,27.56,2024-03-22,completed,Basic,Mexico
T0000226,U00039,29.14,2024-04-21,completed,Basic,Mexico
T0000227,U00039,30.17,2024-05-21,completed,Basic,Mexico
T0000228,U00039,30.33,2024-06-20,completed,Basic,Mexico
T0000229,U00039,28.49,2024-07-20,completed,Basic,Mexico
T0000230,U00039,29.06,2024-08-19,completed,Basic,Mexico
T0000231,U00039,28.5,2024-09-18,completed,Basic,Mexico
T0000232,U00039,30.39,2024-10-18,completed,Basic,Mexico
T0000233,U00039,27.56,2024-11-17,completed,Basic,Mexico
T0000234,U00043,89.35,2023-09-08,completed,Pro,Brazil
T0000235,U00043,89.91,2023-10-08,completed,Pro,Brazil
T0000236,U00043,89.69,2023-11-07,completed,Pro,Brazil
T0000237,U00043,87.75,2023-12-07,completed,Pro,Brazil
T0000238,U00043,87.74,2024-01-06,completed,Pro,Brazil
T0000239,U00043,87.52,2024-02-05,completed,Pro,Brazil
T0000240,U00043,90.17,2024-03-06,completed,Pro,Brazil
T0000241,U00043,0.0,2024-04-05,failed,Pro,Brazil
T0000242,U00043,89.66,2024-05-05,completed,Pro,Brazil
T0000243,U00043,89.67,2024-06-04,completed,Pro,Brazil
T0000244,U00043,0.0,2024-07-04,failed,Pro,Brazil
T0000245,U00043,87.85,2024-08-03,completed,Pro,Brazil
T0000246,U00043,89.96,2024-09-02,completed,Pro,Brazil
T0000247,U00043,88.12,2024-10-02,completed,Pro,Brazil
T0000248,U00043,89.39,2024-11-01,completed,Pro,Brazil
T0000249,U00043,90.0,2024-12-01,completed,Pro,Brazil
T0000250,U00047,0.0,2024-10-21,failed,Pro,Chile
T0000251,U00047,90.35,2024-11-20,completed,Pro,Chile
T0000252,U00052,28.27,2023-08-21,completed,Basic,Colombia
T0000253,U00052,29.9,2023-09-20,completed,Basic,Colombia
T0000254,U00052,27.85,2023-10-20,completed,Basic,Colombia
T0000255,U00052,28.18,2023-11-19,completed,Basic,Colombia
T0000256,U00052,29.0,2023-12-19,completed,Basic,Colombia
T0000257,U00052,27.83,2024-01-18,completed,Basic,Colombia
T0000258,U00052,28.64,2024-02-17,completed,Basic,Colombia
T0000259,U00052,30.01,2024-03-18,completed,Basic,Colombia
T0000260,U00052,28.02,2024-04-17,completed,Basic,Colombia
T0000261,U00052,29.25,2024-05-17,completed,Basic,Colombia
T0000262,U00052,30.13,2024-06-16,completed,Basic,Colombia
T0000263,U00052,28.29,2024-07-16,completed,Basic,Colombia
T0000264,U00052,29.24,2024-08-15,completed,Basic,Colombia
T0000265,U00052,27.56,2024-09-14,completed,Basic,Colombia
T0000266,U00052,28.3,2024-10-14,completed,Basic,Colombia
T0000267,U00052,27.82,2024-11-13,completed,Basic,Colombia
T0000268,U00053,89.78,2023-10-04,completed,Pro,Peru
T0000269,U00053,89.14,2023-11-03,completed,Pro,Peru
T0000270,U00053,89.95,2023-12-03,completed,Pro,Peru
T0000271,U00053,87.97,2024-01-02,completed,Pro,Peru
T0000272,U00053,89.74,2024-02-01,completed,Pro,Peru
T0000273,U00053,90.01,2024-03-02,completed,Pro,Peru
T0000274,U00053,88.96,2024-04-01,completed,Pro,Peru
T0000275,U00053,90.48,2024-05-01,completed,Pro,Peru
T0000276,U00053,0.0,2024-05-31,failed,Pro,Peru
T0000277,U00053,90.02,2024-06-30,completed,Pro,Peru
T0000278,U00053,87.86,2024-07-30,completed,Pro,Peru
T0000279,U00053,88.02,2024-08-29,completed,Pro,Peru
T0000280,U00053,88.61,2024-09-28,completed,Pro,Peru
T0000281,U00053,89.9,2024-10-28,completed,Pro,Peru
T0000282,U00053,88.7,2024-11-27,completed,Pro,Peru
T0000283,U00058,30.29,2023-09-01,completed,Basic,Chile
T0000284,U00058,30.28,2023-10-01,completed,Basic,Chile
T0000285,U00058,29.1,2023-10-31,completed,Basic,Chile
T0000286,U00058,28.75,2023-11-30,completed,Basic,Chile
T0000287,U00058,28.09,2023-12-30,completed,Basic,Chile
T0000288,U00058,30.24,2024-01-29,completed,Basic,Chile
T0000289,U00058,28.69,2024-02-28,completed,Basic,Chile
T0000290,U00058,0.0,2024-03-29,failed,Basic,Chile
T0000291,U00058,29.07,2024-04-28,completed,Basic,Chile
T0000292,U00058,28.9,2024-05-28,completed,Basic,Chile
T0000293,U00058,0.0,2024-06-27,failed,Basic,Chile
T0000294,U00058,27.95,2024-07-27,completed,Basic,Chile
T0000295,U00058,30.2,2024-08-26,completed,Basic,Chile
T0000296,U00058,29.49,2024-09-25,completed,Basic,Chile
T0000297,U00058,28.71,2024-10-25,completed,Basic,Chile
T0000298,U00058,29.05,2024-11-24,completed,Basic,Chile
T0000299,U00059,88.41,2024-11-26,completed,Pro,Colombia
T0000300,U00060,88.87,2023-09-21,completed,Pro,Chile
T0000301,U00060,0.0,2023-10-21,failed,Pro,Chile
T0000302,U00060,89.81,2023-11-20,completed,Pro,Chile
T0000303,U00060,89.92,2023-12-20,completed,Pro,Chile
T0000304,U00060,87.73,2024-01-19,completed,Pro,Chile
T0000305,U00060,88.58,2024-02-18,completed,Pro,Chile
T0000306,U00060,88.99,2024-03-19,completed,Pro,Chile
T0000307,U00060,87.59,2024-04-18,completed,Pro,Chile
T0000308,U00060,90.23,2024-05-18,completed,Pro,Chile
T0000309,U00060,90.38,2024-06-17,completed,Pro,Chile
T0000310,U00060,88.57,2024-07-17,completed,Pro,Chile
T0000311,U00060,90.4,2024-08-16,completed,Pro,Chile
T0000312,U00060,87.5,2024-09-15,completed,Pro,Chile
T0000313,U00060,88.57,2024-10-15,completed,Pro,Chile
T0000314,U00060,89.82,2024-11-14,completed,Pro,Chile
T0000315,U00062,30.42,2023-08-10,completed,Basic,Mexico
T0000316,U00062,28.05,2023-09-09,completed,Basic,Mexico
T0000317,U00062,28.54,2023-10-09,completed,Basic,Mexico
T0000318,U00062,29.2,2023-11-08,completed,Basic,Mexico
T0000319,U00062,30.07,2023-12-08,completed,Basic,Mexico
T0000320,U00062,27.63,2024-01-07,completed,Basic,Mexico
T0000321,U00062,28.15,2024-02-06,completed,Basic,Mexico
T0000322,U00062,30.38,2024-03-07,completed,Basic,Mexico
T0000323,U00062,29.53,2024-04-06,completed,Basic,Mexico
T0000324,U00062,27.68,2024-05-06,completed,Basic,Mexico
T0000325,U00062,29.27,2024-06-05,completed,Basic,Mexico
T0000326,U00062,0.0,2024-07-05,failed,Basic,Mexico
T0000327,U00062,29.47,2024-08-04,completed,Basic,Mexico
T0000328,U00062,30.24,2024-09-03,completed,Basic,Mexico
T0000329,U00062,28.77,2024-10-03,completed,Basic,Mexico
T0000330,U00062,28.29,2024-11-02,completed,Basic,Mexico
T0000331,U00063,0.0,2024-05-19,failed,Pro,Chile
T0000332,U00063,90.16,2024-06-18,completed,Pro,Chile
T0000333,U00063,90.22,2024-07-18,completed,Pro,Chile
T0000334,U00063,90.03,2024-08-17,completed,Pro,Chile
T0000335,U00063,89.28,2024-09-16,completed,Pro,Chile
T0000336,U00063,89.63,2024-10-16,completed,Pro,Chile
T0000337,U00063,89.16,2024-11-15,completed,Pro,Chile
T0000338,U00066,0.0,2024-10-12,failed,Basic,Colombia
T0000339,U00066,27.86,2024-11-11,completed,Basic,Colombia
T0000340,U00068,89.71,2023-09-09,completed,Pro,Mexico
T0000341,U00068,89.76,2023-10-09,completed,Pro,Mexico
T0000342,U00068,89.91,2023-11-08,completed,Pro,Mexico
T0000343,U00068,87.62,2023-12-08,completed,Pro,Mexico
T0000344,U00068,90.06,2024-01-07,completed,Pro,Mexico
T0000345,U00068,88.95,2024-02-06,completed,Pro,Mexico
T0000346,U00068,87.67,2024-03-07,completed,Pro,Mexico
T0000347,U00068,88.02,2024-04-06,completed,Pro,Mexico
T0000348,U00068,89.64,2024-05-06,completed,Pro,Mexico
T0000349,U00068,87.85,2024-06-05,completed,Pro,Mexico
T0000350,U00068,90.4,2024-07-05,completed,Pro,Mexico
T0000351,U00068,89.68,2024-08-04,completed,Pro,Mexico
T0000352,U00068,90.06,2024-09-03,completed,Pro,Mexico
T0000353,U00068,88.5,2024-10-03,completed,Pro,Mexico
T0000354,U00068,87.93,2024-11-02,completed,Pro,Mexico
T0000355,U00069,28.2,2024-05-05,completed,Basic,USA
T0000356,U00069,28.62,2024-06-04,completed,Basic,USA
T0000357,U00069,28.89,2024-07-04,completed,Basic,USA
T0000358,U00069,30.33,2024-08-03,completed,Basic,USA
T0000359,U00069,29.84,2024-09-02,completed,Basic,USA
T0000360,U00069,27.62,2024-10-02,completed,Basic,USA
T0000361,U00069,28.89,2024-11-01,completed,Basic,USA
T0000362,U00069,28.27,2024-12-01,completed,Basic,USA
T0000363,U00070,27.66,2023-07-09,completed,Basic,Colombia
T0000364,U00070,28.11,2023-08-08,completed,Basic,Colombia
T0000365,U00070,30.39,2023-09-07,completed,Basic,Colombia
T0000366,U00070,29.64,2023-10-07,completed,Basic,Colombia
T0000367,U00070,0.0,2023-11-06,failed,Basic,Colombia
T0000368,U00070,29.06,2023-12-06,completed,Basic,Colombia
T0000369,U00070,29.3,2024-01-05,completed,Basic,Colombia
T0000370,U00070,29.94,2024-02-04,completed,Basic,Colombia
T0000371,U00070,28.83,2024-03-05,completed,Basic,Colombia
T0000372,U00070,27.55,2024-04-04,completed,Basic,Colombia
T0000373,U00070,29.57,2024-05-04,completed,Basic,Colombia
T0000374,U00070,27.54,2024-06-03,completed,Basic,Colombia
T0000375,U00070,27.92,2024-07-03,completed,Basic,Colombia
T0000376,U00070,28.7,2024-08-02,completed,Basic,Colombia
T0000377,U00070,27.74,2024-09-01,completed,Basic,Colombia
T0000378,U00070,28.9,2024-10-01,completed,Basic,Colombia
T0000379,U00070,27.92,2024-10-31,completed,Basic,Colombia
T0000380,U00070,0.0,2024-11-30,failed,Basic,Colombia
T0000381,U00071,87.74,2023-10-15,completed,Pro,Chile
T0000382,U00071,89.12,2023-11-14,completed,Pro,Chile
T0000383,U00071,89.23,2023-12-14,completed,Pro,Chile
T0000384,U00071,88.3,2024-01-13,completed,Pro,Chile
T0000385,U00071,90.19,2024-02-12,completed,Pro,Chile
T0000386,U00071,90.31,2024-03-13,completed,Pro,Chile
T0000387,U00071,90.2,2024-04-12,completed,Pro,Chile
T0000388,U00071,89.62,2024-05-12,completed,Pro,Chile
T0000389,U00071,90.26,2024-06-11,completed,Pro,Chile
T0000390,U00071,89.46,2024-07-11,completed,Pro,Chile
T0000391,U00071,90.38,2024-08-10,completed,Pro,Chile
T0000392,U00071,0.0,2024-09-09,failed,Pro,Chile
T0000393,U00071,89.74,2024-10-09,completed,Pro,Chile
T0000394,U00071,88.62,2024-11-08,completed,Pro,Chile
T0000395,U00072,30.12,2023-10-18,completed,Basic,Chile
T0000396,U00072,29.97,2023-11-17,completed,Basic,Chile
T0000397,U00072,30.27,2023-12-17,completed,Basic,Chile
T0000398,U00072,29.53,2024-01-16,completed,Basic,Chile
T0000399,U00072,29.64,2024-02-15,completed,Basic,Chile
T0000400,U00072,28.34,2024-03-16,completed,Basic,Chile
T0000401,U00072,29.92,2024-04-15,completed,Basic,Chile
T0000402,U00072,29.52,2024-05-15,completed,Basic,Chile
T0000403,U00072,28.75,2024-06-14,completed,Basic,Chile
T0000404,U00072,27.78,2024-07-14,completed,Basic,Chile
T0000405,U00072,28.5,2024-08-13,completed,Basic,Chile
T0000406,U00072,30.16,2024-09-12,completed,Basic,Chile
T0000407,U00072,29.47,2024-10-12,completed,Basic,Chile
T0000408,U00072,0.0,2024-11-11,failed,Basic,Chile
T0000409,U00073,28.53,2024-02-01,completed,Basic,Chile
T0000410,U00073,28.52,2024-03-02,completed,Basic,Chile
T0000411,U00073,28.12,2024-04-01,completed,Basic,Chile
T0000412,U00073,29.59,2024-05-01,completed,Basic,Chile
T0000413,U00073,27.74,2024-05-31,completed,Basic,Chile
T0000414,U00073,28.1,2024-06-30,completed,Basic,Chile
T0000415,U00073,28.86,2024-07-30,completed,Basic,Chile
T0000416,U00073,0.0,2024-08-29,failed,Basic,Chile
T0000417,U00073,29.39,2024-09-28,completed,Basic,Chile
T0000418,U00073,29.86,2024-10-28,completed,Basic,Chile
T0000419,U00073,29.23,2024-11-27,completed,Basic,Chile
T0000420,U00077,28.22,2023-12-13,completed,Basic,Colombia
T0000421,U00077,30.08,2024-01-12,completed,Basic,Colombia
T0000422,U00077,30.07,2024-02-11,completed,Basic,Colombia
T0000423,U00077,28.12,2024-03-12,completed,Basic,Colombia
T0000424,U00077,30.32,2024-04-11,completed,Basic,Colombia
T0000425,U00077,27.61,2024-05-11,completed,Basic,Colombia
T0000426,U00077,28.09,2024-06-10,completed,Basic,Colombia
T0000427,U00077,29.63,2024-07-10,completed,Basic,Colombia
T0000428,U00077,30.21,2024-08-09,completed,Basic,Colombia
T0000429,U00077,29.31,2024-09-08,completed,Basic,Colombia
T0000430,U00077,30.44,2024-10-08,completed,Basic,Colombia
T0000431,U00077,28.68,2024-11-07,completed,Basic,Colombia
T0000432,U00081,89.97,2023-08-10,completed,Pro,Chile
T0000433,U00081,88.12,2023-09-09,completed,Pro,Chile
T0000434,U00081,89.93,2023-10-09,completed,Pro,Chile
T0000435,U00081,90.01,2023-11-08,completed,Pro,Chile
T0000436,U00081,87.69,2023-12-08,completed,Pro,Chile
T0000437,U00081,0.0,2024-01-07,failed,Pro,Chile
T0000438,U00081,90.38,2024-02-06,completed,Pro,Chile
T0000439,U00081,88.17,2024-03-07,completed,Pro,Chile
T0000440,U00081,88.1,2024-04-06,completed,Pro,Chile
T0000441,U00081,87.7,2024-05-06,completed,Pro,Chile
T0000442,U00081,89.24,2024-06-05,completed,Pro,Chile
T0000443,U00081,89.69,2024-07-05,completed,Pro,Chile
